ID_FICHE,CAT_BISSON,TYPE_CAT_BISSON,LIEN_FTP,CIV_DE,CIV_A,TYPE_VOIE,LIEN_VOIE,NOM_VOIE,ORIENT_VOIE,ADRESSE,NOTE,DEMOLI,NOM_INDICATIF,STATUT_INV_PRE_40_2025,ID_IMM_INV,ID_UEV,NUM_UEV,MATRICULE_83,X,Y,LNG,LAT
1_043,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/482_84_avenue_bloomfield_CAT_1.pdf,482,484,avenue,,Bloomfield,,482-484 avenue Bloomfield ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3027916,3030375,60639,9642-41-8570-8-000-0000,296488.31689159176,5042175.010156748,-73.6063918,45.5194442
1_044,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/486_88_avenue_bloomfield_CAT_1.pdf,486,488,avenue,,Bloomfield,,486-488 avenue Bloomfield ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3027920,3030379,60638,9642-41-7776-2-000-0000,296479.192630271,5042181.323379951,-73.6065087,45.5195009
1_045,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/490_92_avenue_bloomfield_CAT_1.pdf,490,492,avenue,,Bloomfield,,490-492 avenue Bloomfield ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3027922-001,3114373,60637,9642-41-6882-9-001-0001,296471.3704331318,5042185.6678689495,-73.6066089,45.5195399
1_046,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/494_96_avenue_bloomfield_CAT_1.pdf,494,496,avenue,,Bloomfield,,494-496 avenue Bloomfield ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3027924-001,3030383,85712,9642-41-6086-7-000-0000,296461.58220204373,5042192.0153387645,-73.6067343,45.5195969
1_047,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/500_avenue_bloomfield_CAT_1.pdf,500,500,avenue,,Bloomfield,,500-500 avenue Bloomfield ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3027926,3030385,278021,9642-41-5193-2-000-0000,296455.03365828487,5042196.524852056,-73.6068182,45.5196374
1_048,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/504_06_avenue_bloomfield_CAT_1.pdf,504,506,avenue,,Bloomfield,,504-506 avenue Bloomfield ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3027928-001,5288681,1081314,9642-41-4398-8-001-0001,296444.44833966775,5042202.673373302,-73.6069538,45.5196926
1_049,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/508_avenue_bloomfield_CAT_1.pdf,508,508,avenue,,Bloomfield,,508-508 avenue Bloomfield ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3027930-001,3030389,278020,9642-42-3502-4-000-0000,296437.8994193861,5042206.882851378,-73.6070377,45.5197304
1_050,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/512_14_avenue_bloomfield_CAT_1.pdf,512,514,avenue,,Bloomfield,,512-514 avenue Bloomfield ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3027932,3030391,60636,9642-42-2608-0-000-0000,296427.6424438584,5042213.175433844,-73.6071691,45.5197869
1_051,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/516_18_avenue_bloomfield_CAT_1.pdf,516,518,avenue,,Bloomfield,,516-518 avenue Bloomfield ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3027934-001,3030393,60635,9642-42-1813-7-000-0000,296420.5937675907,5042217.541180512,-73.6072594,45.5198261
1_052,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/520_avenue_bloomfield_CAT_1.pdf,520,520,avenue,,Bloomfield,,520-520 avenue Bloomfield ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3027936-001,3030395,355091,9642-42-0918-5-000-0000,296411.79694928264,5042223.253957647,-73.6073721,45.5198774
1_053,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/525_avenue_bloomfield_CAT_1.pdf,530,525,avenue,,Bloomfield,,530-525 avenue Bloomfield ,,Non,chalet du parc Saint-Viateur,Retenu Inventaire pre 1940,i663-OUT-3031012-001,3033948,134449,9642-43-6105-1-000-0000,296450.77711798094,5042285.4575574845,-73.6068742,45.5204376
1_054,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/755_avenue_bloomfield_CAT_1.pdf,755,755,avenue,,Bloomfield,,755-755 avenue Bloomfield ,,Non,appartements The Parisian (édifice sud),Retenu Inventaire pre 1940,i663-OUT-3028052,3030536,447678,9642-04-8092-1-000-0000,296074.0124425233,5042489.551301883,-73.6117006,45.5222695
1_055,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/757_avenue_bloomfield_CAT_1.pdf,757,757,avenue,,Bloomfield,,757-757 avenue Bloomfield ,,Non,appartements The Parisian (édifice nord),Retenu Inventaire pre 1940,i663-OUT-3028056,3030540,434263,9642-04-6999-9-000-0000,296064.04632582935,5042496.555318201,-73.6118283,45.5223324
1_057,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/406_10a_avenue_champagneur_CAT_1.pdf,406,410,avenue,,Champagneur,,406-410 avenue Champagneur ,,Non,maison Joseph-Amédé-Thérien,Retenu Inventaire pre 1940,i663-OUT-3031482,3034439,60508,9642-50-1859-3-000-0000,296520.5903306738,5042057.090835754,-73.6059767,45.5183835
1_059,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/426_avenue_champagneur_CAT_1.pdf,426,426,avenue,,Champagneur,,426-426 avenue Champagneur ,,Non,maison Madame A.-Roy,Retenu Inventaire pre 1940,i663-OUT-3031486,3034443,277700,9642-40-9267-2-000-0000,296494.5309532918,5042071.238915103,-73.6063105,45.5185105
1_060,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/550_avenue_champagneur_CAT_1.pdf,550,550,avenue,,Champagneur,,550-550 avenue Champagneur ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3031521,3034478,277691,9642-31-7045-3-000-0000,296370.4617647649,5042147.395767073,-73.6078999,45.5191943
1_061,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/554_avenue_champagneur_CAT_1.pdf,554,554,avenue,,Champagneur,,554-554 avenue Champagneur ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3031523,3034480,277690,9642-31-6249-2-000-0000,296364.2084954965,5042150.704763277,-73.60798,45.519224
1_062,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/22_avenue_claude_champagne_CAT_1.pdf,22,22,avenue,,Claude-Champagne,,22-22 avenue Claude-Champagne ,,Non,maison I.-Préfontaine,Retenu Inventaire pre 1940,i663-OUT-5029122,5071053,277041,9641-04-6721-9-000-0000,296064.4909824445,5041419.184577996,-73.611803407564,45.512637803214
1_095,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/505_avenue_davaar_CAT_1.pdf,505,505,avenue,,Davaar,,505-505 avenue Davaar ,,Non,maison K.-M.-Ramsey,Retenu Inventaire pre 1940,i663-OUT-3031637-001,3034598,277685,9641-16-5624-0-000-0000,296157.7519999444,5041624.124948226,-73.6106134,45.5144831
1_082,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/530_avenue_davaar_CAT_1.pdf,543,543,chemin,de la,Côte-Sainte-Catherine,,543-543 chemin de la Côte-Sainte-Catherine ,,Non,hôtel-de-ville d'Outremont (église presbytérienne d'Outremont),Retenu Inventaire pre 1940,i663-OUT-3033777-002,3036865,407916,9641-06-9830-0-000-0000,296092.9209353645,5041648.593814569,-73.6114436153198,45.5147024740131
1_096,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/545_avenue_davaar_CAT_1.pdf,545,545,avenue,,Davaar,,545-545 avenue Davaar ,,Non,maison E.-Gravel,Retenu Inventaire pre 1940,i663-OUT-3031649,3034610,277680,9641-17-0206-9-000-0000,296097.36139598023,5041705.989671313,-73.6113878,45.515219
1_097,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/735_37_avenue_davaar_CAT_1.pdf,735,737,avenue,,Davaar,,735-737 avenue Davaar ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3031749,3034710,64077,9541-79-7514-1-000-0000,295777.4921476882,5041917.957065527,-73.6154858,45.5171223
1_098,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/753_55_avenue_davaar_CAT_1.pdf,753,755,avenue,,Davaar,,753-755 avenue Davaar ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3031762,3034723,60499,9541-79-4337-0-000-0000,295742.54217873723,5041936.910805794,-73.6159335,45.5172924
1_099,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/761_63_avenue_davaar_CAT_1.pdf,761,763,avenue,,Davaar,,761-763 avenue Davaar ,,Non,maison J.-Bergman,Retenu Inventaire pre 1940,i663-OUT-3031770,3123411,60495,9541-79-2050-1-001-0002,295721.5626001055,5041951.2992532905,-73.6162023,45.5174216
1_100,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/944_avenue_davaar_CAT_1.pdf,944,944,avenue,,Davaar,,944-944 avenue Davaar ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3031863,3034826,434108,9542-40-0096-6-000-0000,295397.9174042542,5042092.634495369,-73.6203476,45.5186891
1_108,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/612_avenue_dunlop_CAT_1.pdf,612,612,avenue,,Dunlop,,612-612 avenue Dunlop ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3032176,3035170,277617,9541-84-4300-8-000-0000,295838.3883556188,5041401.244243451,-73.6146969,45.5124735
1_109,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/615_avenue_dunlop_CAT_1.pdf,615,615,avenue,,Dunlop,,615-615 avenue Dunlop ,,Non,maison Paul-A.-Béique,Retenu Inventaire pre 1940,i663-OUT-3032177,3035172,342314,9541-84-5841-0-000-0000,295857.40729556,5041440.557450919,-73.6144542,45.5128275
1_110,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/616_avenue_dunlop_CAT_1.pdf,616,616,avenue,,Dunlop,,616-616 avenue Dunlop ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3032178-001,3035174,359223,9541-84-2014-7-000-0000,295824.73008771054,5041411.754521195,-73.6148719,45.5125679
1_111,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/675_avenue_dunlop_CAT_1.pdf,628,628,avenue,,Dunlop,,628-628 avenue Dunlop ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3032183-001,3035181,277614,9541-74-8229-6-000-0000,295779.10731887707,5041427.433833837,-73.6154561,45.5127084
1_112,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/636_avenue_dunlop_CAT_1.pdf,636,636,avenue,,Dunlop,,636-636 avenue Dunlop ,,Non,maison Charles-Henri-Branchaud,Retenu Inventaire pre 1940,i663-OUT-3032195-001,3035193,277609,9541-74-1158-4-000-0000,295721.9203381604,5041474.958093204,-73.6161889,45.5131353
1_113,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/675_avenue_dunlop_CAT_1.pdf,675,675,avenue,,Dunlop,,675-675 avenue Dunlop ,,Non,maison Joseph-Apolda-Durocher,Retenu Inventaire pre 1940,i663-OUT-3032205-001,3035203,277606,9541-75-1039-3-000-0000,295708.59331246396,5041535.888248361,-73.6163606,45.5136834
1_114,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/685_avenue_dunlop_CAT_1.pdf,685,685,avenue,,Dunlop,,685-685 avenue Dunlop ,,Non,maison Georges-Mignault,Retenu Inventaire pre 1940,i663-OUT-3032207,3035205,342313,9541-65-8952-1-000-0000,295687.1036941567,5041549.644091035,-73.6166359,45.5138069
1_115,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/5210_avenue_durocher_CAT_1.pdf,5210,5210,avenue,,Durocher,,5210-5210 avenue Durocher ,,Non,temple de l'Église baptiste (école Alfred-Joyce),Retenu Inventaire pre 1940,i663-OUT-3029972-001,3032887,468910,9742-00-2991-6-000-0000,297029.588830041,5042087.767589363,-73.599462,45.5186654
1_117,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/5335_avenue_durocher_CAT_1.pdf,5335,5335,avenue,,Durocher,,5335-5335 avenue Durocher ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3030007,3032923,346884,9642-92-2228-2-000-0000,296919.1425281385,5042223.285119964,-73.6008779,45.5198836
1_118,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/5341_avenue_durocher_CAT_1.pdf,5341,5341,avenue,,Durocher,,5341-5341 avenue Durocher ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3030009,3032925,355082,9642-92-1632-6-000-0000,296913.3425634611,5042226.915279123,-73.6009522,45.5199162
1_119,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/5347_avenue_durocher_CAT_1.pdf,5347,5347,avenue,,Durocher,,5347-5347 avenue Durocher ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3030011,3032927,277913,9642-92-1036-0-000-0000,296907.10632111836,5042231.501719142,-73.6010321,45.5199574
1_120,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/5450_avenue_durocher_CAT_1.pdf,5450,5450,avenue,,Durocher,,5450-5450 avenue Durocher ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3030041-001,3032957,342339,9642-72-8857-4-000-0000,296788.58228453435,5042258.956846212,-73.6025497,45.5202031
1_121,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/5458_avenue_durocher_CAT_1.pdf,5458,5458,avenue,,Durocher,,5458-5458 avenue Durocher ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3030043-001,3032959,283510,9642-72-8061-3-000-0000,296782.570546528,5042261.842819436,-73.6026267,45.520229
1_122,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/5743_avenue_durocher_CAT_1.pdf,5743,5743,avenue,,Durocher,,5743-5743 avenue Durocher ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3030098,3033014,355078,9642-54-5461-6-000-0000,296552.41200336994,5042456.275990687,-73.6055761,45.5219759
1_123,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/5751_avenue_durocher_CAT_1.pdf,5751,5751,avenue,,Durocher,,5751-5751 avenue Durocher ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3030102,3033018,277867,9642-54-4864-2-000-0000,296545.6993710295,5042460.596704714,-73.6056621,45.5220147
1_124,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/5759_avenue_durocher_CAT_1.pdf,5759,5759,avenue,,Durocher,,5759-5759 avenue Durocher ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3030104,3033020,277866,9642-54-4370-0-000-0000,296539.36125434015,5042464.561313408,-73.6057433,45.5220503
1_125,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/5767_avenue_durocher_CAT_1.pdf,5767,5767,avenue,,Durocher,,5767-5767 avenue Durocher ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3030108-001,3033024,277864,9642-54-3573-0-000-0000,296533.4217757263,5042468.6920997985,-73.6058194,45.5220874
1_126,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/5773_75_avenue_durocher_CAT_1.pdf,5773,5773,avenue,,Durocher,,5773-5773 avenue Durocher ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3030112-001,3033028,342334,9642-54-2977-4-000-0000,296526.8964223435,5042472.834777616,-73.605903,45.5221246
1_127,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/5777_79_avenue_durocher_CAT_1.pdf,5777,5779,avenue,,Durocher,,5777-5779 avenue Durocher ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3030116,3033032,60603,9642-54-2281-1-000-0000,296520.06688059977,5042477.333483156,-73.6059905,45.522165
1_128,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/6051_55_avenue_durocher_CAT_1.pdf,6051,6055,avenue,,Durocher,,6051-6055 avenue Durocher ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3030213,3112697,395756,9642-26-8033-8-001-0002,296279.1062150801,5042632.317291238,-73.6090777,45.5235567
1_129,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/40_60_avenue_duverger_CAT_1.pdf,40,40,avenue,,Duverger,,40-40 avenue Duverger ,,Non,ancienne église Sainte-Madeleine,Retenu Inventaire pre 1940,i663-OUT-3073394,5132353,463618,9542-92-3564-1-000-0000,295943.8448633352,5042276.300947154,-73.6133630067659,45.52034895
1_131,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/22_avenue_elmwood_CAT_1.pdf,22,22,avenue,,Elmwood,,22-22 avenue Elmwood ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3030340,3033265,355077,9642-70-9675-3-000-0000,296790.92139999,5042077.921474164,-73.6025168,45.5185741
1_132,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/24_avenue_elmwood_CAT_1.pdf,24,24,avenue,,Elmwood,,24-24 avenue Elmwood ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3030342,3033267,277852,9642-70-9269-5-000-0000,296786.81188420503,5042071.681160884,-73.6025693,45.5185179
1_133,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/26_avenue_elmwood_CAT_1.pdf,26,26,avenue,,Elmwood,,26-26 avenue Elmwood ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3030346,3033271,351886,9642-70-8863-6-000-0000,296782.7029283181,5042065.885373519,-73.6026218,45.5184657
1_134,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/28_avenue_elmwood_CAT_1.pdf,28,28,avenue,,Elmwood,,28-28 avenue Elmwood ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3030348,3033273,277851,9642-70-8356-1-000-0000,296779.05339495343,5042058.911013186,-73.6026684,45.5184029
1_135,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/30_avenue_elmwood_CAT_1.pdf,30,30,avenue,,Elmwood,,30-30 avenue Elmwood ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3030350,3033275,277850,9642-70-8050-0-000-0000,296775.2485419201,5042052.670318111,-73.602717,45.5183467
1_136,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/32_avenue_elmwood_CAT_1.pdf,32,32,avenue,,Elmwood,,32-32 avenue Elmwood ,,Non,,Retenu Inventaire pre 1940,i663-OUT-3030352-001,3033277,277849,9642-70-7442-0-000-0000,296770.34998908796,5042046.475477464,-73.6027796,45.5182909
1_151,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/1125_avenue_fairmount_CAT_1.pdf,1125,1125,avenue,,Fairmount,,1125-1125 avenue Fairmount ,,Non,académie Notre-Dame-de-Bon-Secours,Retenu Inventaire pre 1940,i663-OUT-3030377-001,3033306,507,9642-90-7731-4-000-0000,296990.74266800354,5042022.882001144,-73.5999582,45.5180811
1_153,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/6_avenue_glencoe_CAT_1.pdf,6,6,avenue,,Glencoe,,6-6 avenue Glencoe ,,Non,maison Maurice-Jarry,Retenu Inventaire pre 1940,i663-OUT-3034676,3038133,277073,9541-72-7327-3-000-0000,295775.47957482684,5041228.220257308,-73.6154988638101,45.51091575
1_154,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/8_avenue_glencoe_CAT_1.pdf,8,8,avenue,,Glencoe,,8-8 avenue Glencoe ,,Non,maison Marc-Jarry,Retenu Inventaire pre 1940,i663-OUT-3034679,3038136,277071,9541-72-8724-0-000-0000,295784.9881716297,5041221.4875198575,-73.6153770460376,45.5108552891175
1_155,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/26_avenue_glencoe_CAT_1.pdf,26,26,avenue,,Glencoe,,26-26 avenue Glencoe ,,Non,maison E.-H.-Merrill,Retenu Inventaire pre 1940,i663-OUT-3034688-001,3038146,277067,9541-82-2706-2-000-0000,295823.33828850783,5041200.896770099,-73.6148858528396,45.5106705
1_156,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/680_avenue_hartland_CAT_1.pdf,680,680,avenue,,Hartland,,680-680 avenue Hartland ,,Non,maison Paul-E.-Roy,Retenu Inventaire pre 1940,i663-OUT-3032389-001,3035403,346878,9541-75-2672-0-000-0000,295726.0811694969,5041575.114381102,-73.6161375,45.5140366
1_162,1,Bâtiment remarquable,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/28_avenue_kelvin_CAT_1.pdf,28,28,avenue,,Kelvin,,28-28 avenue Kelvin ,,Non,maison Adolphe-Deschamps,Retenu Inventaire pre 1940,i663-OUT-3032588,3035610,277512,9541-74-3219-2-000-0000,295732.6583683795,5041417.321188369,-73.6160504,45.5126168
