ID_FICHE,CAT_BISSON,TYPE_CAT_BISSON,ADRESSE,TYPE_VOIE,NOM_VOIE,NOM_INDICATIF,STATUT_INV_PRE_40_2025,DEMOLI,LIEN_FTP,LNG,LAT
1_096,1,Bâtiment remarquable,545-545 avenue Davaar,avenue,Davaar,maison E.-Gravel,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/545_avenue_davaar_CAT_1.pdf,-73.6113878,45.515219
1_097,1,Bâtiment remarquable,735-737 avenue Davaar,avenue,Davaar,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/735_37_avenue_davaar_CAT_1.pdf,-73.6154858,45.5171223
1_098,1,Bâtiment remarquable,753-755 avenue Davaar,avenue,Davaar,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/753_55_avenue_davaar_CAT_1.pdf,-73.6159335,45.5172924
1_099,1,Bâtiment remarquable,761-763 avenue Davaar,avenue,Davaar,maison J.-Bergman,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/761_63_avenue_davaar_CAT_1.pdf,-73.6162023,45.5174216
1_100,1,Bâtiment remarquable,944-944 avenue Davaar,avenue,Davaar,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/944_avenue_davaar_CAT_1.pdf,-73.6203476,45.5186891
1_108,1,Bâtiment remarquable,612-612 avenue Dunlop,avenue,Dunlop,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/612_avenue_dunlop_CAT_1.pdf,-73.6146969,45.5124735
1_109,1,Bâtiment remarquable,615-615 avenue Dunlop,avenue,Dunlop,maison Paul-A.-Béique,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/615_avenue_dunlop_CAT_1.pdf,-73.6144542,45.5128275
1_110,1,Bâtiment remarquable,616-616 avenue Dunlop,avenue,Dunlop,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/616_avenue_dunlop_CAT_1.pdf,-73.6148719,45.5125679
1_111,1,Bâtiment remarquable,628-628 avenue Dunlop,avenue,Dunlop,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/675_avenue_dunlop_CAT_1.pdf,-73.6154561,45.5127084
1_112,1,Bâtiment remarquable,636-636 avenue Dunlop,avenue,Dunlop,maison Charles-Henri-Branchaud,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/636_avenue_dunlop_CAT_1.pdf,-73.6161889,45.5131353
1_113,1,Bâtiment remarquable,675-675 avenue Dunlop,avenue,Dunlop,maison Joseph-Apolda-Durocher,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/675_avenue_dunlop_CAT_1.pdf,-73.6163606,45.5136834
1_114,1,Bâtiment remarquable,685-685 avenue Dunlop,avenue,Dunlop,maison Georges-Mignault,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/685_avenue_dunlop_CAT_1.pdf,-73.6166359,45.5138069
1_115,1,Bâtiment remarquable,5210-5210 avenue Durocher,avenue,Durocher,temple de l'Église baptiste (école Alfred-Joyce),Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/5210_avenue_durocher_CAT_1.pdf,-73.599462,45.5186654
1_117,1,Bâtiment remarquable,5335-5335 avenue Durocher,avenue,Durocher,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/5335_avenue_durocher_CAT_1.pdf,-73.6008779,45.5198836
1_118,1,Bâtiment remarquable,5341-5341 avenue Durocher,avenue,Durocher,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/5341_avenue_durocher_CAT_1.pdf,-73.6009522,45.5199162
1_119,1,Bâtiment remarquable,5347-5347 avenue Durocher,avenue,Durocher,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/5347_avenue_durocher_CAT_1.pdf,-73.6010321,45.5199574
